task,hash,cost,points,n_nodes,status,ops,dsl_rule
314,cbded52d,100,20.394829814011906,1,baseline,Conv:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = product(x2, x2) | x4 = fork(vmatching, first, last) | x5 = fork(hmatching, first, last) | x6 = fork(either, x4, x5) | x7 = sfilter(x3, x6) | x8 = compose(center, first) | x9 = compose(center, last) | x10 = fork(connect, x8, x9) | x11 = chain"
315,cce03e0d,230,19.561920691076804,1,baseline,Einsum:1,"x1 = upscale(I, THREE) | x2 = hconcat(I, I) | x3 = hconcat(x2, I) | x4 = vconcat(x3, x3) | x5 = vconcat(x4, x3) | x6 = ofcolor(x1, ZERO) | x7 = ofcolor(x1, ONE) | x8 = combine(x6, x7) | O = fill(x5, ZERO, x8)"
316,cdecee7f,426,18.94556065373063,10,baseline,Cast:3;Gather:2;Einsum:1;Slice:1;TopK:1;Equal:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = astuple(ONE, THREE) | x3 = size(x1) | x4 = order(x1, leftmost) | x5 = apply(color, x4) | x6 = rbind(canvas, UNITY) | x7 = apply(x6, x5) | x8 = merge(x7) | x9 = dmirror(x8) | x10 = subtract(NINE, x3) | x11 = astuple(ONE, x10) | x12 = canvas(ZERO, x11) | x13 = hconcat(x"
317,ce22a75a,146,20.016393378291664,2,baseline,Resize:2,"x1 = objects(I, T, F, T) | x2 = apply(outbox, x1) | x3 = mapply(backdrop, x2) | O = fill(I, ONE, x3)"
318,ce4f8723,100,20.394829814011906,1,baseline,Conv:1,"x1 = tophalf(I) | x2 = bottomhalf(I) | x3 = ofcolor(x1, ZERO) | x4 = ofcolor(x2, ZERO) | x5 = intersection(x3, x4) | x6 = astuple(FOUR, FOUR) | x7 = canvas(THREE, x6) | O = fill(x7, ZERO, x5)"
319,ce602527,22097,14.996802868314894,316,baseline,Gather:43;Equal:35;Add:33;Cast:32;And:29;ArgMax:22;Unsqueeze:21;Sub:18;ReduceMax:16;Mul:13;ReduceMin:13;Less:11;Or:10;Pad:7;Concat:6;Where:3;Squeeze:2;ReduceSum:1;TopK:1,"x1 = vmirror(I) | x2 = fgpartition(x1) | x3 = order(x2, size) | x4 = last(x3) | x5 = remove(x4, x3) | x6 = compose(toindices, normalize) | x7 = rbind(upscale, TWO) | x8 = chain(toindices, x7, normalize) | x9 = x6(x4) | x10 = rbind(intersection, x9) | x11 = chain(size, x10, x8) | x12 = argmax(x5, x11"
320,ce9e57f2,770,18.35360948515227,3,baseline,Slice:1;Conv:1;ScatterND:1,"x1 = objects(I, T, F, T) | x2 = fork(connect, ulcorner, centerofmass) | x3 = mapply(x2, x1) | x4 = fill(I, EIGHT, x3) | O = switch(x4, EIGHT, TWO)"
321,cf98881b,300,19.2962175253438,1,baseline,Conv:1,"x1 = hsplit(I, THREE) | x2 = first(x1) | x3 = remove(x2, x1) | x4 = first(x3) | x5 = last(x3) | x6 = ofcolor(x4, NINE) | x7 = ofcolor(x2, FOUR) | x8 = fill(x5, NINE, x6) | O = fill(x8, FOUR, x7)"
322,d037b0a7,200,19.701682633451963,5,baseline,Conv:1;Cast:1;MaxPool:1;Equal:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = rbind(shoot, DOWN) | x3 = compose(x2, center) | x4 = fork(recolor, color, x3) | x5 = mapply(x4, x1) | O = paint(I, x5)"
323,d06dbe63,2177,17.31429693876545,6,baseline,Slice:1;Cast:1;QLinearConv:1;Add:1;Concat:1;ConvInteger:1,"x1 = ofcolor(I, EIGHT) | x2 = center(x1) | x3 = connect(ORIGIN, DOWN) | x4 = connect(ORIGIN, ZERO_BY_TWO) | x5 = combine(x3, x4) | x6 = subtract(x2, TWO_BY_ZERO) | x7 = shift(x5, x6) | x8 = astuple(NEG_TWO, TWO) | x9 = interval(ZERO, FIVE, ONE) | x10 = lbind(multiply, x8) | x11 = apply(x10, x9) | x1"
324,d07ae81c,8894,15.906867828929359,45,baseline,ReduceMax:11;Where:6;Not:5;Or:5;And:5;Equal:4;Cast:2;ReduceSum:1;TopK:1;Split:1;Conv:1;QLinearConv:1;Greater:1;Pad:1,"x1 = objects(I, T, F, F) | x2 = sizefilter(x1, ONE) | x3 = apply(color, x2) | x4 = difference(x1, x2) | x5 = apply(color, x4) | x6 = first(x5) | x7 = last(x5) | x8 = ofcolor(I, x6) | x9 = ofcolor(I, x7) | x10 = rbind(shoot, UNITY) | x11 = rbind(shoot, NEG_UNITY) | x12 = rbind(shoot, DOWN_LEFT) | x13"
325,d0f5fe59,2133,17.33471528152865,28,baseline,Cast:5;QLinearConv:4;And:4;Greater:3;Slice:2;Equal:2;Less:2;GlobalAveragePool:1;MaxPool:1;Sum:1;Xor:1;Concat:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = size(x1) | x3 = astuple(x2, x2) | x4 = canvas(ZERO, x3) | x5 = shoot(ORIGIN, UNITY) | O = fill(x4, EIGHT, x5)"
326,d10ecb37,30,21.598802618337846,1,baseline,Einsum:1,"O = crop(I, ORIGIN, TWO_BY_TWO)"
327,d13f3404,881,18.218942374063822,6,baseline,Slice:1;Conv:1;Cast:1;ConvTranspose:1;Equal:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = rbind(shoot, UNITY) | x3 = compose(x2, center) | x4 = fork(recolor, color, x3) | x5 = mapply(x4, x1) | x6 = astuple(SIX, SIX) | x7 = canvas(ZERO, x6) | O = paint(x7, x5)"
328,d22278a0,6904,16.160143767236736,71,baseline,Cast:18;Reshape:8;Concat:7;Add:6;ArgMax:5;Sub:4;Slice:4;Mul:4;Gather:4;Equal:2;Greater:2;ReduceSum:1;Less:1;Where:1;Unsqueeze:1;Div:1;Mod:1;Pad:1,"x1 = asindices(I) | x2 = objects(I, T, F, T) | x3 = fork(multiply, sign, identity) | x4 = lbind(apply, x3) | x5 = chain(even, maximum, x4) | x6 = lbind(sfilter, x1) | x7 = fork(add, first, last) | x8 = rbind(remove, x2) | x9 = compose(center, last) | x10 = fork(subtract, first, x9) | x11 = compose(x"
329,d23f8c26,1059,18.034919654398593,11,baseline,Unsqueeze:2;ReduceSum:1;LessOrEqual:1;Pad:1;Equal:1;Cast:1;ArgMax:1;ScatterElements:1;Or:1;Where:1,"x1 = asindices(I) | x2 = width(I) | x3 = halve(x2) | x4 = matcher(last, x3) | x5 = compose(flip, x4) | x6 = sfilter(x1, x5) | O = fill(I, ZERO, x6)"
330,d2abd087,3022,16.986325857167316,21,baseline,Mul:4;Cast:3;MaxPool:3;Flatten:2;Sub:2;Slice:1;ScatterElements:1;GatherElements:1;Reshape:1;Equal:1;Concat:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = matcher(size, SIX) | x3 = compose(flip, x2) | x4 = mfilter(x1, x2) | x5 = mfilter(x1, x3) | x6 = fill(I, TWO, x4) | O = fill(x6, ONE, x5)"
331,d364b489,910,18.186555400489105,1,baseline,Conv:1,"x1 = ofcolor(I, ONE) | x2 = shift(x1, DOWN) | x3 = fill(I, EIGHT, x2) | x4 = shift(x1, UP) | x5 = fill(x3, TWO, x4) | x6 = shift(x1, RIGHT) | x7 = fill(x5, SIX, x6) | x8 = shift(x1, LEFT) | O = fill(x7, SEVEN, x8)"
332,d406998b,563,18.666720371860308,10,baseline,Where:3;Cast:2;Slice:1;ReduceSum:1;Mod:1;Greater:1;QLinearConv:1,"x1 = vmirror(I) | x2 = ofcolor(x1, FIVE) | x3 = compose(even, last) | x4 = sfilter(x2, x3) | x5 = fill(x1, THREE, x4) | O = vmirror(x5)"
333,d43fd935,3227,16.92069180794804,93,baseline,Where:12;Cast:11;Add:8;Div:8;Floor:8;Mod:8;Equal:5;Less:4;Greater:4;Reshape:4;ReduceMax:4;And:4;Einsum:3;ArgMax:2;Concat:2;Gather:2;Mul:2;Max:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = ofcolor(I, THREE) | x3 = sizefilter(x1, ONE) | x4 = rbind(vmatching, x2) | x5 = rbind(hmatching, x2) | x6 = fork(either, x4, x5) | x7 = sfilter(x3, x6) | x8 = rbind(gravitate, x2) | x9 = fork(add, center, x8) | x10 = fork(connect, center, x9) | x11 = fork(recolor, col"
334,d4469b4b,197,19.716796271262012,14,baseline,Concat:5;Max:3;Sub:2;ReduceMax:1;Cast:1;Split:1;Pad:1,"x1 = palette(I) | x2 = other(x1, ZERO) | x3 = equality(x2, ONE) | x4 = equality(x2, TWO) | x5 = branch(x3, UNITY, TWO_BY_TWO) | x6 = branch(x4, RIGHT, x5) | x7 = fork(combine, vfrontier, hfrontier) | x8 = x7(x6) | x9 = canvas(ZERO, THREE_BY_THREE) | O = fill(x9, FIVE, x8)"
335,d4a91cb9,3501,16.839196079045337,24,baseline,And:4;Conv:2;ArgMax:2;ReduceMin:2;ReduceMax:2;Slice:2;Greater:2;Less:2;Equal:2;Or:2;Pad:1;Where:1,"x1 = ofcolor(I, EIGHT) | x2 = ofcolor(I, TWO) | x3 = first(x1) | x4 = first(x2) | x5 = last(x3) | x6 = first(x4) | x7 = astuple(x6, x5) | x8 = connect(x7, x3) | x9 = connect(x7, x4) | x10 = combine(x8, x9) | O = underfill(I, FOUR, x10)"
336,d4f3cd78,2288,17.26456664750031,6,baseline,GatherND:1;Gemm:1;Relu:1;Neg:1;Concat:1;ScatterND:1,"x1 = ofcolor(I, FIVE) | x2 = delta(x1) | x3 = fill(I, EIGHT, x2) | x4 = box(x1) | x5 = difference(x4, x1) | x6 = position(x4, x5) | x7 = first(x5) | x8 = shoot(x7, x6) | O = fill(x3, EIGHT, x8)"
337,d511f180,10,22.697414907005953,1,baseline,Gather:1,"O = switch(I, FIVE, EIGHT)"
338,d5d6de2d,17939,15.20526760730091,98,baseline,Greater:25;And:21;Cast:9;Split:4;Or:4;Equal:3;Unsqueeze:3;Slice:3;ReduceMax:3;Mul:3;Gather:2;Squeeze:2;Where:2;ArgMax:2;Add:2;Conv:1;Flatten:1;TopK:1;Div:1;Mod:1;Transpose:1;Pad:1;Sum:1;Xor:1;Concat:1,"x1 = objects(I, T, F, T) | x2 = sfilter(x1, square) | x3 = difference(x1, x2) | x4 = compose(backdrop, inbox) | x5 = mapply(x4, x3) | x6 = replace(I, TWO, ZERO) | O = fill(x6, THREE, x5)"
339,d631b094,140,20.058357577390694,2,baseline,GlobalAveragePool:1;ConvTranspose:1,"x1 = palette(I) | x2 = other(x1, ZERO) | x3 = ofcolor(I, x2) | x4 = size(x3) | x5 = astuple(ONE, x4) | O = canvas(x2, x5)"
340,d687bc17,11039,15.690810263981648,97,baseline,Cast:19;Slice:13;Concat:11;Squeeze:10;Equal:10;And:6;ReduceMax:6;Unsqueeze:6;Or:4;Not:4;Sub:4;Where:2;Conv:1;Einsum:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = difference(x1, x2) | x4 = apply(color, x3) | x5 = rbind(contained, x4) | x6 = compose(x5, color) | x7 = sfilter(x2, x6) | x8 = lbind(colorfilter, x3) | x9 = chain(first, x8, color) | x10 = fork(gravitate, identity, x9) | x11 = fork(shift, id"
341,d6ad076f,1429,17.735269822070133,35,baseline,Slice:9;And:8;Equal:4;Or:3;ReduceSum:2;ReduceMin:2;Cast:2;Not:2;ReduceMax:1;Pad:1;Where:1,"x1 = objects(I, T, F, T) | x2 = argmin(x1, size) | x3 = argmax(x1, size) | x4 = vmatching(x2, x3) | x5 = branch(x4, DOWN, RIGHT) | x6 = branch(x4, uppermost, leftmost) | x7 = valmax(x1, x6) | x8 = x6(x2) | x9 = equality(x7, x8) | x10 = branch(x9, NEG_ONE, ONE) | x11 = multiply(x5, x10) | x12 = inbox"
342,d89b689b,1585,17.63166031368862,58,baseline,Cast:14;Concat:9;GatherElements:8;And:6;ArgMax:4;Einsum:3;Gather:2;Sub:2;Div:2;Add:2;Less:2;Greater:2;Equal:1;ScatterND:1,"x1 = objects(I, T, F, T) | x2 = ofcolor(I, EIGHT) | x3 = sizefilter(x1, ONE) | x4 = apply(initset, x2) | x5 = lbind(argmin, x4) | x6 = lbind(rbind, manhattan) | x7 = compose(x5, x6) | x8 = fork(recolor, color, x7) | x9 = mapply(x8, x3) | x10 = merge(x3) | x11 = cover(I, x10) | O = paint(x11, x9)"
343,d8c310e9,2037,17.380766583773195,36,baseline,Gather:8;Cast:7;Equal:4;Where:4;Slice:3;Conv:2;ReduceMin:2;Concat:2;Squeeze:1;And:1;Mod:1;Pad:1,"x1 = objects(I, F, F, T) | x2 = first(x1) | x3 = hperiod(x2) | x4 = multiply(x3, THREE) | x5 = tojvec(x3) | x6 = tojvec(x4) | x7 = shift(x2, x5) | x8 = shift(x2, x6) | x9 = paint(I, x7) | O = paint(x9, x8)"
344,d90796e8,910,18.186555400489105,1,baseline,Conv:1,"x1 = objects(I, F, F, T) | x2 = sizefilter(x1, TWO) | x3 = lbind(contained, TWO) | x4 = compose(x3, palette) | x5 = mfilter(x2, x4) | x6 = cover(I, x5) | x7 = matcher(first, THREE) | x8 = sfilter(x5, x7) | O = fill(x6, EIGHT, x8)"
345,d9f24cd1,1495,17.690118514175214,35,baseline,Slice:6;Cast:6;And:5;Gather:5;Or:5;Xor:5;Concat:1;Pad:1;Where:1,"x1 = ofcolor(I, TWO) | x2 = ofcolor(I, FIVE) | x3 = prapply(connect, x1, x2) | x4 = mfilter(x3, vline) | x5 = underfill(I, TWO, x4) | x6 = matcher(numcolors, TWO) | x7 = objects(x5, F, F, T) | x8 = sfilter(x7, x6) | x9 = difference(x7, x8) | x10 = colorfilter(x9, TWO) | x11 = mapply(toindices, x10) "
346,d9fac9be,1254,17.865906278807135,25,baseline,Concat:5;Add:4;Slice:3;Cast:3;ReduceMax:2;TopK:1;Split:1;QLinearConv:1;Equal:1;Not:1;ScatterElements:1;Unsqueeze:1;Pad:1,"x1 = palette(I) | x2 = objects(I, T, F, T) | x3 = argmax(x2, size) | x4 = color(x3) | x5 = remove(ZERO, x1) | x6 = other(x5, x4) | O = canvas(x6, UNITY)"
347,dae9d2b5,11042,15.69053853715601,5,REPAIRED,Slice:2;Greater:1;Where:1;MaxUnpool:1,"x1 = lefthalf(I) | x2 = righthalf(I) | x3 = ofcolor(x1, FOUR) | x4 = ofcolor(x2, THREE) | x5 = combine(x3, x4) | O = fill(x1, SIX, x5)"
348,db3e9e38,2273,17.27114417614746,24,baseline,Cast:4;Slice:3;And:3;Equal:2;Sub:2;Xor:2;ReduceSum:1;ArgMin:1;Or:1;Abs:1;GreaterOrEqual:1;Mod:1;Concat:1;Pad:1,"x1 = ofcolor(I, SEVEN) | x2 = lrcorner(x1) | x3 = shoot(x2, UP_RIGHT) | x4 = shoot(x2, NEG_UNITY) | x5 = combine(x3, x4) | x6 = rbind(shoot, UP) | x7 = mapply(x6, x5) | x8 = last(x2) | x9 = rbind(subtract, x8) | x10 = chain(even, x9, last) | x11 = fill(I, EIGHT, x7) | x12 = sfilter(x7, x10) | O = fi"
349,db93a21d,26189,14.826905245739622,24,baseline,Cast:6;MaxPool:6;QLinearConv:5;Where:3;Slice:1;ReduceMax:1;Max:1;Equal:1,"x1 = objects(I, T, T, T) | x2 = ofcolor(I, NINE) | x3 = colorfilter(x1, NINE) | x4 = rbind(shoot, DOWN) | x5 = mapply(x4, x2) | x6 = underfill(I, ONE, x5) | x7 = compose(halve, width) | x8 = rbind(greater, ONE) | x9 = compose(x8, x7) | x10 = matcher(x7, THREE) | x11 = power(outbox, TWO) | x12 = powe"
350,dbc1a6ce,9038,15.890806810028774,12,baseline,MaxPool:4;Min:2;Slice:1;Cast:1;Max:1;Greater:1;Pad:1;Where:1,"x1 = ofcolor(I, ONE) | x2 = product(x1, x1) | x3 = fork(connect, first, last) | x4 = apply(x3, x2) | x5 = fork(either, vline, hline) | x6 = mfilter(x4, x5) | O = underfill(I, EIGHT, x6)"
351,dc0a314f,1651,17.59086355607987,12,baseline,Slice:2;ReduceMax:2;ArgMax:2;Cast:2;Sub:2;Concat:1;Pad:1,"x1 = ofcolor(I, THREE) | x2 = replace(I, THREE, ZERO) | x3 = dmirror(x2) | x4 = papply(pair, x2, x3) | x5 = lbind(apply, maximum) | x6 = apply(x5, x4) | x7 = cmirror(x6) | x8 = papply(pair, x6, x7) | x9 = apply(x5, x8) | O = subgrid(x1, x9)"
352,dc1df850,460,18.86877351051686,1,baseline,Conv:1,"x1 = objects(I, T, F, T) | x2 = colorfilter(x1, TWO) | x3 = mapply(outbox, x2) | O = fill(I, ONE, x3)"
353,dc433765,334,19.1888590070233,14,baseline,Concat:3;Einsum:2;Split:2;Sign:2;Add:2;Cast:2;ScatterND:1,"x1 = ofcolor(I, THREE) | x2 = ofcolor(I, FOUR) | x3 = first(x1) | x4 = first(x2) | x5 = subtract(x4, x3) | x6 = sign(x5) | x7 = recolor(THREE, x1) | O = move(I, x7, x6)"
354,ddf7fa4f,3077,16.968289624677958,54,baseline,Cast:14;Add:9;Where:7;Slice:6;Equal:4;Conv:3;ReduceMax:3;Concat:2;ReduceMin:2;Mod:2;Split:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = colorfilter(x1, FIVE) | x4 = product(x2, x3) | x5 = fork(vmatching, first, last) | x6 = sfilter(x4, x5) | x7 = compose(color, first) | x8 = fork(recolor, x7, last) | x9 = mapply(x8, x6) | O = paint(I, x9)"
355,de1cd16c,2755,17.078827278412987,15,baseline,ReduceSum:3;ReduceMax:2;Cast:2;Mul:1;Sub:1;Greater:1;Where:1;ArgMax:1;Equal:1;Unsqueeze:1;Pad:1,"x1 = leastcolor(I) | x2 = objects(I, T, F, F) | x3 = sizefilter(x2, ONE) | x4 = difference(x2, x3) | x5 = rbind(subgrid, I) | x6 = apply(x5, x4) | x7 = rbind(colorcount, x1) | x8 = argmax(x6, x7) | x9 = mostcolor(x8) | O = canvas(x9, UNITY)"
356,ded97339,1319,17.815370847282686,11,baseline,MaxPool:4;Mul:2;Slice:1;Cast:1;Max:1;Add:1;ConvInteger:1,"x1 = ofcolor(I, EIGHT) | x2 = product(x1, x1) | x3 = fork(connect, first, last) | x4 = apply(x3, x2) | x5 = fork(either, vline, hline) | x6 = mfilter(x4, x5) | O = underfill(I, EIGHT, x6)"
357,e179c5f4,291,19.326676732828506,13,baseline,Cast:2;Sub:2;ReduceSum:1;Div:1;Add:1;Mod:1;Min:1;Equal:1;Greater:1;Where:1;ConvInteger:1,"x1 = height(I) | x2 = ofcolor(I, ONE) | x3 = first(x2) | x4 = shoot(x3, UP_RIGHT) | x5 = fill(I, ONE, x4) | x6 = ofcolor(x5, ONE) | x7 = urcorner(x6) | x8 = shoot(x7, NEG_UNITY) | x9 = fill(x5, ONE, x8) | x10 = ofcolor(x9, ONE) | x11 = subgrid(x10, x9) | x12 = height(x11) | x13 = width(x11) | x14 = "
358,e21d9049,4486,16.591283284919847,49,baseline,Cast:12;Equal:6;ArgMax:5;Add:4;Einsum:4;Mod:3;Where:3;Less:2;Sub:2;GatherElements:2;ReduceSum:1;Div:1;ReduceMax:1;Unsqueeze:1;And:1;Pad:1,"x1 = asindices(I) | x2 = leastcolor(I) | x3 = objects(I, T, F, T) | x4 = ofcolor(I, x2) | x5 = merge(x3) | x6 = shape(x5) | x7 = neighbors(ORIGIN) | x8 = lbind(mapply, neighbors) | x9 = power(x8, TWO) | x10 = x9(x7) | x11 = lbind(multiply, x6) | x12 = lbind(shift, x5) | x13 = apply(x11, x10) | x14 ="
359,e26a3af2,4467,16.595527678647883,28,baseline,Cast:5;ReduceSum:4;Mul:4;Greater:3;Sub:3;Add:3;ArgMax:2;ReduceMax:2;Not:1;Equal:1,"x1 = rot90(I) | x2 = apply(mostcommon, I) | x3 = apply(mostcommon, x1) | x4 = repeat(x2, ONE) | x5 = repeat(x3, ONE) | x6 = compose(size, dedupe) | x7 = x6(x2) | x8 = x6(x3) | x9 = greater(x8, x7) | x10 = branch(x9, height, width) | x11 = x10(I) | x12 = rot90(x4) | x13 = branch(x9, x5, x12) | x14 = "
360,e3497940,340,19.17105438238979,1,baseline,Einsum:1,"x1 = lefthalf(I) | x2 = righthalf(I) | x3 = vmirror(x2) | x4 = objects(x3, T, F, T) | x5 = merge(x4) | O = paint(x1, x5)"
361,e40b9e2f,4839,16.51553663320668,67,baseline,Add:10;Cast:9;Sub:7;Mul:5;Div:4;Slice:3;Flatten:3;Mod:3;Clip:3;Reshape:2;MaxPool:2;Equal:2;ArgMin:2;Concat:2;TopK:1;Gather:1;Unsqueeze:1;GridSample:1;Conv:1;ReduceMin:1;Where:1;GreaterOrEqual:1;ScatterElements:1;Pad:1,"x1 = objects(I, F, T, T) | x2 = neighbors(ORIGIN) | x3 = mapply(neighbors, x2) | x4 = first(x1) | x5 = lbind(intersection, x4) | x6 = compose(hmirror, vmirror) | x7 = x6(x4) | x8 = lbind(shift, x7) | x9 = apply(x8, x3) | x10 = argmax(x9, x5) | x11 = paint(I, x10) | x12 = objects(x11, F, T, T) | x13 "
362,e48d4e1a,521,18.744249958246634,16,baseline,Einsum:3;Cast:3;Sub:2;ScatterElements:2;ReduceSum:1;Gather:1;Add:1;Equal:1;Unsqueeze:1;Concat:1,"x1 = shape(I) | x2 = ofcolor(I, FIVE) | x3 = fill(I, ZERO, x2) | x4 = leastcolor(x3) | x5 = size(x2) | x6 = ofcolor(I, x4) | x7 = rbind(toobject, I) | x8 = rbind(colorcount, x4) | x9 = chain(x8, x7, dneighbors) | x10 = matcher(x9, FOUR) | x11 = extract(x6, x10) | x12 = multiply(DOWN_LEFT, x5) | x13 "
363,e5062a87,4636,16.558392795540357,47,baseline,Cast:11;Slice:5;Equal:5;Mul:4;Sub:3;ReduceMax:2;ArgMax:2;Reshape:2;Concat:2;Add:2;Pad:2;Conv:2;ReduceMin:2;ReduceSum:1;Greater:1;Max:1,"x1 = ofcolor(I, TWO) | x2 = recolor(ZERO, x1) | x3 = normalize(x2) | x4 = occurrences(I, x2) | x5 = lbind(shift, x3) | x6 = apply(x5, x4) | x7 = astuple(ONE, THREE) | x8 = astuple(FIVE, ONE) | x9 = astuple(TWO, SIX) | x10 = initset(x7) | x11 = insert(x8, x10) | x12 = insert(x9, x11) | x13 = rbind(co"
364,e509e548,23013,14.956185447372594,43,baseline,MaxPool:14;Mul:14;Cast:3;Equal:3;Slice:2;Gather:2;Where:2;QLinearConv:1;Add:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = rbind(subgrid, I) | x3 = chain(palette, trim, x2) | x4 = lbind(contained, THREE) | x5 = compose(x4, x3) | x6 = fork(add, height, width) | x7 = compose(decrement, x6) | x8 = fork(equality, size, x7) | x9 = mfilter(x1, x5) | x10 = mfilter(x1, x8) | x11 = replace(I, THRE"
365,e50d258f,4028,16.698974746161547,85,baseline,And:11;Gather:10;Where:9;Cast:7;Unsqueeze:7;Add:6;Less:6;Squeeze:4;Slice:3;Mod:3;Equal:2;GatherElements:2;Split:2;GreaterOrEqual:2;Conv:1;Flatten:1;TopK:1;Div:1;Transpose:1;Einsum:1;ArgMax:1;Or:1;Xor:1;Concat:1;Pad:1,"x1 = width(I) | x2 = astuple(NINE, x1) | x3 = canvas(ZERO, x2) | x4 = vconcat(I, x3) | x5 = objects(x4, F, F, T) | x6 = rbind(colorcount, TWO) | x7 = argmax(x5, x6) | O = subgrid(x7, I)"
366,e6721834,36385,14.498088119218814,634,baseline,Reshape:78;And:60;Cast:54;Where:47;Greater:44;Gather:44;Not:44;GatherElements:42;Sub:27;Equal:25;Less:24;Unsqueeze:21;Mul:16;Add:15;ReduceSum:13;Or:13;ReduceMax:12;ArgMax:12;Concat:10;Clip:9;Div:7;TopK:6;ScatterElements:5;Expand:2;Conv:1;Slice:1;ReduceMin:1;Pad:1,"x1 = portrait(I) | x2 = branch(x1, vsplit, hsplit) | x3 = x2(I, TWO) | x4 = order(x3, numcolors) | x5 = first(x4) | x6 = last(x4) | x7 = objects(x6, F, F, T) | x8 = merge(x7) | x9 = mostcolor(x8) | x10 = matcher(first, x9) | x11 = compose(flip, x10) | x12 = rbind(sfilter, x11) | x13 = lbind(occurren"
367,e73095fd,26903,14.800006916464858,14,baseline,Pad:4;Cast:3;Slice:2;Concat:2;QLinearConv:2;Where:1,"x1 = objects(I, T, F, F) | x2 = colorfilter(x1, ZERO) | x3 = fork(equality, toindices, backdrop) | x4 = sfilter(x2, x3) | x5 = lbind(mapply, dneighbors) | x6 = chain(x5, corners, outbox) | x7 = fork(difference, x6, outbox) | x8 = ofcolor(I, FIVE) | x9 = rbind(intersection, x8) | x10 = matcher(size, "
368,e76a88a6,6225,16.26367127866709,96,baseline,Cast:18;Gather:9;Add:9;Reshape:5;Where:5;Mod:5;Expand:5;Concat:5;Slice:4;ArgMax:4;Div:4;Not:3;And:3;Less:3;GatherND:3;Or:2;Flatten:2;Pad:2;Mul:2;TopK:1;ScatterElements:1;Equal:1,"x1 = objects(I, F, F, T) | x2 = argmax(x1, numcolors) | x3 = normalize(x2) | x4 = remove(x2, x1) | x5 = apply(ulcorner, x4) | x6 = lbind(shift, x3) | x7 = mapply(x6, x5) | O = paint(I, x7)"
369,e8593010,1599,17.622866287166048,4,baseline,QLinearConv:2;Slice:1;Cast:1,"x1 = objects(I, T, F, T) | x2 = sizefilter(x1, ONE) | x3 = sizefilter(x1, TWO) | x4 = merge(x2) | x5 = fill(I, THREE, x4) | x6 = merge(x3) | x7 = fill(x5, TWO, x6) | O = replace(x7, ZERO, ONE)"
370,e8dc4411,10393,15.751112218411578,69,baseline,Greater:8;Cast:7;Where:6;And:5;Gather:5;ReduceSum:4;Unsqueeze:4;Einsum:4;Concat:4;QLinearConv:4;Slice:3;GatherND:3;Mul:2;Not:2;ArgMax:2;ScatterND:2;Equal:1;CumSum:1;Less:1;Pad:1,"x1 = leastcolor(I) | x2 = ofcolor(I, ZERO) | x3 = ofcolor(I, x1) | x4 = position(x2, x3) | x5 = fork(connect, ulcorner, lrcorner) | x6 = x5(x2) | x7 = intersection(x2, x6) | x8 = equality(x6, x7) | x9 = fork(subtract, identity, crement) | x10 = fork(add, identity, x9) | x11 = branch(x8, identity, x1"
371,e9614598,467,18.853670742331104,7,baseline,Einsum:2;Cast:2;Concat:1;Add:1;ScatterND:1,"x1 = ofcolor(I, ONE) | x2 = fork(add, first, last) | x3 = x2(x1) | x4 = halve(x3) | x5 = dneighbors(x4) | x6 = insert(x4, x5) | O = fill(I, THREE, x6)"
372,e98196ab,710,18.43473502996464,1,baseline,Conv:1,"x1 = tophalf(I) | x2 = bottomhalf(I) | x3 = objects(x1, T, F, T) | x4 = merge(x3) | O = paint(x2, x4)"
373,e9afcf9a,60,20.9056554377779,1,baseline,Einsum:1,"x1 = astuple(TWO, ONE) | x2 = crop(I, ORIGIN, x1) | x3 = hmirror(x2) | x4 = hconcat(x2, x3) | x5 = hconcat(x4, x4) | O = hconcat(x5, x4)"
374,ea32f347,2304,17.25759797818422,38,baseline,Where:10;Cast:5;Equal:5;Slice:3;ReduceSum:3;Concat:2;ReduceMax:2;ReduceMin:2;And:1;Or:1;Sub:1;Max:1;Min:1;Pad:1,"x1 = objects(I, T, F, T) | x2 = replace(I, FIVE, FOUR) | x3 = argmin(x1, size) | x4 = argmax(x1, size) | x5 = fill(x2, ONE, x4) | O = fill(x5, TWO, x3)"
375,ea786f4a,350,19.142066845516542,8,baseline,Unsqueeze:2;ReduceSum:1;Sqrt:1;Concat:1;Slice:1;Sub:1;Einsum:1,"x1 = width(I) | x2 = shoot(ORIGIN, UNITY) | x3 = decrement(x1) | x4 = tojvec(x3) | x5 = shoot(x4, DOWN_LEFT) | x6 = combine(x2, x5) | O = fill(I, ZERO, x6)"
